carrera,escuela,duracion_formal,duracion_real,arancel,arancel_formal,arancel_real
"Diseño de Vestuario, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,5 semestres,S/I,$749.000,$1.872.500,S/I
Diseño Gráfico,IP AIEP,5 semestres,S/I,$1.730.000,$4.325.000,S/I
Diseño Gráfico,IP AIEP,5 semestres,S/I,$1.730.000,$4.325.000,S/I
Diseño Gráfico,IP AIEP,5 semestres,S/I,$1.700.000,$4.250.000,S/I
Diseño Gráfico,IP AIEP,5 semestres,S/I,$1.440.000,$3.600.000,S/I
Diseño Gráfico,IP AIEP,5 semestres,S/I,$1.420.000,$3.550.000,S/I
Diseño Gráfico,IP SANTO TOMÁS,8 semestres,S/I,$1.821.000,$7.284.000,S/I
Diseño Gráfico,IP SANTO TOMÁS,8 semestres,S/I,$1.718.100,$6.872.400,S/I
Diseño Gráfico,IP SANTO TOMÁS,8 semestres,S/I,$1.718.100,$6.872.400,S/I
Diseño Gráfico,IP SANTO TOMÁS,8 semestres,S/I,$1.685.400,$6.741.600,S/I
Diseño Gráfico,IP SANTO TOMÁS,8 semestres,S/I,$1.610.200,$6.440.800,S/I
Diseño Gráfico,IP SANTO TOMÁS,8 semestres,S/I,$1.552.900,$6.211.600,S/I
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,9 semestres,S/I,$4.061.000,$18.274.500,S/I
Diseño Gráfico,UNIVERSIDAD CATÓLICA DE TEMUCO,10 semestres,S/I,$3.108.000,$15.540.000,S/I
Diseño Gráfico,UNIVERSIDAD DE LAS AMÉRICAS,8 semestres,S/I,$2.940.250,$11.761.000,S/I
Diseño Gráfico Computacional,CFT ICEL,5 semestres,S/I,$919.000,$2.297.500,S/I
Diseño Gráfico Computacional,CFT ICEL,5 semestres,S/I,$919.000,$2.297.500,S/I
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,9 semestres,S/I,$4.061.000,$18.274.500,S/I
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,10 semestres,S/I,$2.490.216,$12.451.080,S/I
Diseño Mención Industrial/Gráfico/Ambientes,UNIVERSIDAD MAYOR,10 semestres,S/I,$4.371.000,$21.855.000,S/I
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,8 semestres,S/I,$2.477.000,$9.908.000,S/I
Diseño Teatral,UNIVERSIDAD DE CHILE,10 semestres,S/I,$2.794.000,$13.970.000,S/I
Diseño Web & Mobile,CFT INACAP,4 semestres,S/I,$1.626.000,$3.252.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$2.090.000,$4.180.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.942.000,$3.884.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.890.000,$3.780.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.876.000,$3.752.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.876.000,$3.752.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.876.000,$3.752.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.812.000,$3.624.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.812.000,$3.624.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.620.000,$3.240.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.582.000,$3.164.000,S/I
Diseño y Producción Gráfica,CFT INACAP,4 semestres,S/I,$1.556.000,$3.112.000,S/I
